airline,score (max 10),reviews,links
KD Air,1,1,"https://www.airlinequality.com/airline-reviews/kd-air"""
Kenya Airways,5,389,"https://www.airlinequality.com/airline-reviews/kenya-airways"""
Kish Airlines,5,3,"https://www.airlinequality.com/airline-reviews/kish-air"""
KLM Royal Dutch Airlines,6,1407,"https://www.airlinequality.com/airline-reviews/klm-royal-dutch-airlines"""
Korean Air,8,541,"https://www.airlinequality.com/airline-reviews/korean-air"""
Kulula,3,85,"https://www.airlinequality.com/airline-reviews/kulula"""
Kuwait Airways,4,300,"https://www.airlinequality.com/airline-reviews/kuwait-airways"""
La Compagnie,6,45,"https://www.airlinequality.com/airline-reviews/la-compagnie"""
LAM Mozambique,3,32,"https://www.airlinequality.com/airline-reviews/lam-mozambique-airlines"""
LAN Airlines,6,332,"https://www.airlinequality.com/airline-reviews/lan-airlines"""
LAN Colombia,6,8,"https://www.airlinequality.com/airline-reviews/lan-colombia"""
LAN Peru,4,42,"https://www.airlinequality.com/airline-reviews/lan-peru"""
Lao Airlines,9,1,"https://www.airlinequality.com/airline-reviews/lao-airlines-2"""
Lao Skyway,8,72,"https://www.airlinequality.com/airline-reviews/lao-airlines"""
LATAM Airlines,3,390,"https://www.airlinequality.com/airline-reviews/latam-airlines"""
Laudamotion,3,33,"https://www.airlinequality.com/airline-reviews/laudamotion"""
LC Perú,4,14,"https://www.airlinequality.com/airline-reviews/lc-peru"""
Level,3,61,"https://www.airlinequality.com/airline-reviews/level"""
LIAT,4,119,"https://www.airlinequality.com/airline-reviews/liat"""
Libyan Airlines,5,16,"https://www.airlinequality.com/airline-reviews/libyan-airlines"""
Lion Air,3,197,"https://www.airlinequality.com/airline-reviews/lion-air"""
Loch Lomond Seaplanes,8,2,"https://www.airlinequality.com/airline-reviews/loch-lomond-seaplanes"""
Loganair,6,29,"https://www.airlinequality.com/airline-reviews/loganair"""
LOT Polish Airlines,4,621,"https://www.airlinequality.com/airline-reviews/lot-polish-airlines"""
Lubeck Air,10,2,"https://www.airlinequality.com/airline-reviews/lubeck-air"""
Lucky Air,3,7,"https://www.airlinequality.com/airline-reviews/lucky-air"""
Lufthansa,6,2109,"https://www.airlinequality.com/airline-reviews/lufthansa"""
Luxair,6,85,"https://www.airlinequality.com/airline-reviews/luxair"""
Lynx Air,4,92,"https://www.airlinequality.com/airline-reviews/lynx-air"""
Mack Air,9,1,"https://www.airlinequality.com/airline-reviews/mack-air"""
Madagasikara Airways,10,2,"https://www.airlinequality.com/airline-reviews/madagasikara-airways"""
Mahan Air,8,30,"https://www.airlinequality.com/airline-reviews/mahan-air"""
Malawian Airlines,4,12,"https://www.airlinequality.com/airline-reviews/malawian-airlines"""
Malaysia Airlines,6,1271,"https://www.airlinequality.com/airline-reviews/malaysia-airlines"""
Maldivian,5,4,"https://www.airlinequality.com/airline-reviews/maldivian"""
Malindo Air,4,344,"https://www.airlinequality.com/airline-reviews/malindo-air"""
Malmo Aviation,7,9,"https://www.airlinequality.com/airline-reviews/malm-aviation"""
Mandarin Airlines,8,4,"https://www.airlinequality.com/airline-reviews/mandarin-airlines"""
Mango Airlines,3,116,"https://www.airlinequality.com/airline-reviews/mango"""
Mann Yadanarpon Airlines,8,2,"https://www.airlinequality.com/airline-reviews/mann-yadanarpon-airlines"""
Manta Air,9,1,"https://www.airlinequality.com/airline-reviews/manta-air"""
Martinair,3,22,"https://www.airlinequality.com/airline-reviews/martinair"""
Mauritania Airlines,3,2,"https://www.airlinequality.com/airline-reviews/mauritania-airlines"""
Maya Island Air,1,2,"https://www.airlinequality.com/airline-reviews/maya-island-air"""
MAYAir,1,1,"https://www.airlinequality.com/airline-reviews/mayair"""
MEGA Maldives Airlines,4,1,"https://www.airlinequality.com/airline-reviews/mega-maldives-airlines"""
Meridiana,5,108,"https://www.airlinequality.com/airline-reviews/meridiana"""
MIAT Mongolian Airlines,6,33,"https://www.airlinequality.com/airline-reviews/miat-mongolian"""
Middle East Airlines,6,101,"https://www.airlinequality.com/airline-reviews/mea-middle-east-airlines"""
Mihin Lanka,5,6,"https://www.airlinequality.com/airline-reviews/mihin-lanka"""
Mokulele Airlines,3,11,"https://www.airlinequality.com/airline-reviews/mokulele-airlines"""
Moldavian Airlines,8,5,"https://www.airlinequality.com/airline-reviews/moldavian-airlines"""
Monarch Airlines,6,452,"https://www.airlinequality.com/airline-reviews/monarch-airlines"""
Montenegro Airlines,5,19,"https://www.airlinequality.com/airline-reviews/montenegro-airlines"""
Motor Sich Airlines,6,3,"https://www.airlinequality.com/airline-reviews/motor-sich-airlines"""
Myanmar Airways,8,27,"https://www.airlinequality.com/airline-reviews/myanmar-airways"""
Myanmar National Airlines,8,11,"https://www.airlinequality.com/airline-reviews/myanmar-national-airlines"""
NAM Air,4,12,"https://www.airlinequality.com/airline-reviews/nam-air"""
Nature Air,2,16,"https://www.airlinequality.com/airline-reviews/nature-air"""
Nauru Airlines,9,2,"https://www.airlinequality.com/airline-reviews/nauru-airlines"""
