header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""the worst airline I have ever flown""",1,2022-04-30,"This is literally the worst airline I have ever flown.  Pathetic aircrafts, unempathetic staff (cabin crew were OK, rest were the worst service professionals), lack of discipline, professionalism, accountability, responsibility.  It all started with unorganised boarding with people pushing against each other with no sense of social distancing. Then there was an un-announced delay. Flight was supposed to take off by 21.45 IST but didn't and then came a shocker of an announcement only a good 45 mins later that - there has been a technical malfunction with the plane. I had to demand to be made aware of the exact issue and only then was I informed of the pilot's windscreen fogging.  But the real surprise was their audacity to not let the passengers know of the exact issue.  I was plainly told that there is nothing that can be done and was given a choice to walk out of the plane without any refund or care for accommodation. The flight took off only 2.5 hours later and landed at destination at 1 AM in the night. It was another 1.5 hours of travel to my home from the airport.  I am never flying this incompetent airline that seems to be run my a bunch of teenagers.",True,A320,Solo Leisure,Economy Class,Mumbai to Bangalore,April 2022,1,3,"<span class=""star fill"">1</span>",1,1,,1,False
"""I will never ever choose this flight""",1,2022-04-28,I have done an online booking in thus first. After payment upon seat selection. It wouldn't allow me to select seat since all were Grey and not available. Only paid seat were available for selection. I proceeded thinking that on web check in I will be able allocated seats. Upon my surprise I was informed to web check in within 72 hours and 2 hours prior flight departure. When trying to select seat all are paid. Upon calling the airline they said that I have to pay else i won't be allowed to fly. I have paid rupees 7500 per person for one trip to Mumbai. I don't know who controls this. I have decided that I will never ever choose this flight.,True,,Family Leisure,Economy Class,Cochin to Mumbai ,April 2022,,,,2,1,,,False
"""11 hour trip instead of the original 2 hours""",1,2022-04-22,"Not Verified |  I had booked round trip direct flights with Go First from Pune to Lucknow with my wife and 2 year old. Close to the travel date, they cancelled both flights. Then I was forced to book indirect flights with them. They subsequently cancelled the return flight again. I begged them for a closest airport option (namely flying me to Mumbai). They declined that. Then I begged them to halt me in Delhi for a night at my own expense since long travel with a baby is difficult. They even declined that. Their refund option does not reflect the current market value of the tickets which was several times the original at that point. They prevailed at the end I was compelled to take an 11 hour trip instead of the original 2 hours that I bought with them.",False,,Family Leisure,Economy Class,Pune to Lucknow,April 2022,2,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""It was the worst experience""",1,2022-04-17,Not Verified |  Worst service. Never book Go first. Flight was cancelled 3 times and rescheduled connecting flight at 3 airports. Staff are not cooperative. Baggage was damaged. I personally do not recommend Go First. Traveling in Go First is time and energy consuming. It was the worst experience.,False,,Couple Leisure,Economy Class,Delhi to Bengaluru via Maldives,April 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""Worst airline in the world""",1,2022-04-16,"Worst airline in the world. I had bought round trip for my travel, with just 1 day left for me to board the plane I got a call from Go first that your scheduled flight has been cancelled and they will provide me with new schedule for the flight which had layover of more than 10 hours in night time. Tried to negotiate with them to arrange a better flight and was denied on the spot. Later when returning back from destination I wanted make some changes in my schedule so I contacted them again for that. Now the irony is that I had to pay charges for modifications as they only allow one time change in your schedule charges free. So the change that was made in the beginning due to their maintenance fault was counted as one time change and I had to pay extra money to get my schedule modified. Horrible experience!",True,,Couple Leisure,Economy Class,Ahmedabad to Leh via Mumbai,April 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""In flight service good""",8,2022-04-16,"Go First changed the flight timing fortunately they advised us well in time and we’re helpful with rescheduling. Slightly disappointed that I could not book the emergency exits on line they were empty when I boarded and got them for free. In flight service good, punctuality good, on ground service good",True,,Couple Leisure,First Class,Mumbai to Coimbatore,March 2022,4,5,,5,5,,,True
"""Very poor service""",1,2022-04-12,Not Verified | Lucknow to Kolkata. Very poor service. They always change your flight and just left a message. I can't remember a single time that I book my flight in Go First and they don't change it. I have a booking on 13 Apr 2022 in G8 163 which was a direct flight but they change it and just left a message. When I call back they just said sorry sir this flight is cancelled so we have to change your flight then they again change it which was a connection flight on same day. And tomorrow I'll travel on it but they again change it to another. And this time they don't tell me that this flight is cancelled they just told me that due to some reason we've change your flight. Worst airline in my point of view.,False,,Couple Leisure,Economy Class,Lucknow to Kolkata,September 2021,2,2,"<span class=""star fill"">2</span>",1,1,,,False
"""Customer service is pathetic""",1,2022-04-10,"I still wonder how these kind of airlines are operating in India. Never ever I had such a horrible experience with any of the airlines. Coming to my story, I have reserved 2 flights with them (HYD - BLR, GLR - MLE for Apr 11) on Mar 1st week and they sent out an email on Apr 9 saying my flight is cancelled because of operational issue. And for the BLR - MLE flight, they have rescheduled it as per their needs and convenience. The direct flight was changed to one stop flight.  I had to buy tickets at a higher price from other airlines as I can't afford to miss my trip. This has caused me so much of financial stress and emotional trauma. These guys cancel your flights at the last minute quoting operational reasons. I tried calling them for about 8-10 times. When you call them, Call doesn't get connect and few representatives just hung up your call without helping you while other representatives put you on hold for infinite time without providing a resolution. Such a worst customer service that any business could afford. Customer service is pathetic. They did not even bother to compensate the customer because of the inconvenience that they have caused to the customer.",True,,Couple Leisure,Economy Class,Bangalore to Male,April 2022,,,,1,1,,,False
"""Very pathetic service""",1,2022-04-08,"Very poor service provider. Flight is being rescheduled without any information. Complete waste of time And energy.  No assisting in airport also. As per govt guidelines web check in is mandatory before one hour of flight, but they are charging for seat selection. I bought the ticket them why would I pay extra for seat selection. I don’t want any preferred seat you can assign me any seat during web-check in. But i paid Rs 250. I tried for more than 22 times to reach to the customer care support, they kept me in hold and cut the call without connecting to any customer support executives. Very pathetic service, will not prefer travel by Go first nor suggest any one.",True,,Solo Leisure,Economy Class,Kolkata to Guwahati,April 2022,1,1,,1,1,,,False
"""Just like a local bus service""",1,2022-04-07,"This is kind of a local bus service, which is flying. Changing the time of departure as per their needs and convenience. Just like a local bus service, we will not fly until all the seats are occupied. Third class service. Regretting my own decision by choosing Go First for my upcoming trip.",True,,Family Leisure,Economy Class,Pune to Kolkata ,April 2022,,,,1,1,,,False
"""counter will be closed 60 minutes before""",1,2022-04-07,I got to the check in counter 57 minutes before the flight departure and they could not board me. I agree that they had mentioned that the check in counter will be closed 60 minutes before the flight departure but 3 minutes is not not that big of a deal!  I will never travel on this flight again.,True,,Couple Leisure,Economy Class,Bangalore to Male via Kochi,April 2022,,,,1,1,,,False
""" had to go for another airline at the last moment""",1,2022-04-06,My flight was From Kolkata to Pune (2hrs 35mins). Flight got cancelled before 12 hours and the second option given by the company was Kolkata - Delhi- Bangalore (12hrs). I mean seriously? I had to go for another airline at the last moment and had pay 10k more for the same journey.,True,,Solo Leisure,Economy Class,Kolkata to Pune,April 2022,,,,1,1,,,False
"""Pathetic service and airline""",1,2022-04-05,Pathetic service and airline. Firstly they cancel the flights as and when they like and more over their counter staff are so useless and slow that it takes ages just to have your check in luggage weighed and sent. Never again.,True,,Solo Leisure,Economy Class,Mumbai to Bengaluru,April 2022,3,4,"<span class=""star fill"">1</span>",1,1,,1,False
"""should be shut down completely",1,2022-04-04,"The direct flight was changed to one stop flight and no apologies no food for kids, and after that baggage were not even handled property. The baggages were Made to recheck in at Kochi and missed because of belt issues. 3 days and still counting, there is no info on where the bags are. These kind of airlines should be shut down completely.",True,,Family Leisure,Economy Class,Male to Delhi via Kochi,April 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
Go First customer review,1,2022-04-04,"Worst experience. Never ever experienced such thing with any airline. Two days prior I received a call regarding cancellation and then they gave me 3 options. Change of flight on same day which they denied citing reason that due to operational issues there is no flight from Dehradun to Delhi. Second change of dates which was also denied by saying that no flight is operating +/- 4 days from date of my flight. 3rd obviously cancellation which they insisted very much without considering my problems. They even did not bother to offer me partial cancellation as they first told that flight from Delhi to Surat is operating, but were not ready to provide me partial refund. Then when asked some of my friends, they shared me exact similar experience with this airline. Never ever take flight even if they are offering free of cost. Never trust such a cheater airline. Regulatory authority must take some steps to punish such serial offenders.",True,,Family Leisure,Economy Class,Dehradun to Surat via Delhi,April 2022,,,,1,1,,,False
"""I wanted compensation from Go First""",1,2022-03-30,"I had booked a flight in Go First. They canceled the flight a few hours before travel. When I asked for an alternate they started behaving very rudely. I had to buy tickets at a higher price from other lines. I wanted compensation from Go First. I was trying to reach them via phone call, I called every phone number of Go First available, none of them responded. I had to pay extra money for staying in the hotel also.",True,,Solo Leisure,Economy Class,Patna to Surat via Delhi,March 2022,,,,1,1,,,False
